pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,st_teff,st_rad,discoverymethod,disc_year,ra,dec,sy_dist
"Kepler-1167 b","Kepler-1167",1.71000000,1.00393373900,0.0175000000,4971.00,0.750000,"Transit",2016,298.3026595,47.6939654,820.90500000
"Kepler-1740 b","Kepler-1740",3.32321414,8.17240047500,0.0779000000,5705.00,0.905000,"Transit",2021,293.8736630,38.9224548,1061.77000000
"Kepler-1581 b","Kepler-1581",0.80000000,6.28385491000,0.0686500000,6022.00,1.230000,"Transit",2016,287.3713199,39.6036225,493.17500000
"Kepler-644 b","Kepler-644",3.15000000,3.17391710300,0.0464100000,6747.00,1.810000,"Transit",2016,295.4757022,43.4931119,1318.05000000
"Kepler-1752 b","Kepler-1752",4.54060463,56.35850143000,0.2698000000,5446.00,0.821000,"Transit",2021,290.8541401,51.2227435,962.88800000
"Kepler-280 c","Kepler-280",2.01000000,4.80709100000,0.0560000000,5744.00,0.886000,"Transit",2014,291.3905325,42.1804735,780.36100000
"Kepler-1208 b","Kepler-1208",2.32000000,11.08507637000,0.0901000000,5001.00,0.760000,"Transit",2016,291.8812445,44.5557587,825.17600000
"Kepler-263 c","Kepler-263",2.47000000,47.33277300000,0.2420000000,5265.00,0.785000,"Transit",2014,292.4698022,37.5677941,754.74700000
"HD 136352 b","HD 136352",1.66400000,11.57797000000,0.0964000000,5664.00,1.058000,"Radial Velocity",2019,230.4401147,-48.3188174,14.68200000
"Kepler-1101 b","Kepler-1101",2.47000000,81.31510590000,0.3483000000,5614.00,0.910000,"Transit",2016,294.5693544,45.6711623,742.47300000
"HD 168746 b","HD 168746",11.10000000,6.40400000000,0.0700000000,5570.00,1.090000,"Radial Velocity",2002,275.4573269,-11.9229757,41.56810000
"HAT-P-7 b","HAT-P-7",16.92559000,2.20474000000,0.0380900000,6389.00,2.000000,"Transit",2008,292.2471900,47.9695429,341.07900000
"Kepler-560 b","Kepler-560",1.72000000,18.47764449000,0.0899000000,3556.00,0.330000,"Transit",2016,300.2066441,45.0182402,109.30800000
"Kepler-150 d","Kepler-150",2.79000000,12.56093000000,0.1040000000,5560.00,0.939000,"Transit",2014,288.2341025,40.5208970,891.09200000
"Kepler-498 b","Kepler-498",3.03000000,9.61375356000,0.0897000000,5744.00,0.960000,"Transit",2016,290.3581592,44.5187225,938.84400000
"Kepler-817 b","Kepler-817",9.03000000,3.99010622900,0.0493000000,5861.00,1.030000,"Transit",2016,296.0818498,39.1616140,1484.46000000
"Kepler-937 b","Kepler-937",3.72000000,67.66882700000,0.3214000000,6095.00,1.220000,"Transit",2016,294.1688142,46.7146161,1571.46000000
"K2-10 b","K2-10",3.77300000,19.30553000000,0.1370000000,5533.00,0.956000,"Transit",2015,172.1216476,1.6906217,272.36000000
